Date,Time,City,Latitude,Longitude,Weather,Road_Type,Light_Condition,Vehicle_Type,Speed_Limit,Vehicles_Involved,Accident_Severity,Accident_Cause,Alcohol_Involved,Overspeeding_Severity,Drunk_Driving_Severity
2024-06-29,21:26,Thrissur,10.531209321855922,76.26073447158096,Rainy,City Road,Night,Truck,60,2,Medium,Drunk Driving,Yes,Low,Medium
2023-01-15,17:44,Wayanad,11.643935330628073,76.17696735301101,Rainy,Rural Road,Daylight,Car,50,4,Low,Bad Weather,Yes,High,Low
2024-08-27,06:22,Kannur,11.828439441721475,75.38758814122077,Cloudy,City Road,Night,Truck,80,4,High,Distracted Driving,No,Medium,High
2023-10-21,06:03,Thiruvananthapuram,8.571665925682847,76.96556933832288,Rainy,City Road,Daylight,Truck,40,2,High,Overspeeding,Yes,High,Low
2023-04-28,06:00,Malappuram,11.02174826970547,76.0402456300147,Rainy,City Road,Night,Bus,60,4,High,Drunk Driving,Yes,Medium,Low
2023-10-20,11:15,Kozhikode,11.24777919871627,75.81501126699615,Foggy,City Road,Daylight,Bus,40,4,Medium,Distracted Driving,No,Low,Medium
2023-02-20,02:16,Kannur,11.905270884386175,75.35836881281251,Rainy,Highway,Low Light,Truck,50,1,Medium,Distracted Driving,No,Medium,Medium
2023-09-28,19:22,Kannur,11.919568163926975,75.34132304087365,Clear,City Road,Daylight,Bus,100,4,High,Distracted Driving,Yes,Medium,Medium
2023-04-05,07:02,Malappuram,11.057280693540054,76.07479474614199,Cloudy,Highway,Daylight,Truck,60,3,Low,Distracted Driving,No,High,Low
2023-09-05,22:44,Kozhikode,11.303176778556937,75.7428551667438,Clear,Highway,Daylight,Bus,60,3,Low,Distracted Driving,No,Medium,Medium
2024-08-27,22:50,Kasaragod,12.542237306330822,74.95956054204588,Foggy,City Road,Low Light,Car,80,4,High,Bad Weather,No,High,Low
2024-04-16,16:55,Ernakulam,9.999453206318083,76.29382088263473,Cloudy,Rural Road,Daylight,Bus,100,4,Low,Distracted Driving,Yes,Low,High
2024-02-04,13:42,Ernakulam,9.986604564751591,76.25794331468514,Rainy,Highway,Low Light,Bike,40,2,Low,Overspeeding,No,Medium,Medium
2024-05-17,04:23,Pathanamthitta,9.296224977554214,76.79411899701263,Cloudy,City Road,Low Light,Bus,50,2,Low,Bad Weather,Yes,Low,High
2024-10-01,20:26,Kottayam,9.557602891919984,76.5437114068418,Foggy,Rural Road,Night,Car,100,4,Low,Overspeeding,Yes,Low,High
2023-09-27,06:38,Palakkad,10.771207176160722,76.62999371106866,Foggy,Highway,Low Light,Car,60,4,Low,Bad Weather,No,Medium,Low
2024-03-07,13:36,Kannur,11.848431358716189,75.41583038458742,Rainy,Rural Road,Low Light,Car,100,1,Low,Bad Weather,No,Medium,Low
2023-11-06,16:49,Ernakulam,9.97973337662917,76.33969509269063,Foggy,Highway,Daylight,Bike,80,4,Medium,Road Condition,Yes,Low,Low
2024-08-19,18:25,Palakkad,10.768147320997707,76.69810963493026,Foggy,City Road,Night,Bike,40,4,Low,Bad Weather,Yes,High,Low
2023-10-20,04:16,Thiruvananthapuram,8.530777505407666,76.92574470795026,Rainy,Rural Road,Daylight,Bus,100,2,Medium,Distracted Driving,Yes,Medium,High
2024-03-27,17:41,Kollam,8.92139158085743,76.65525642878772,Rainy,Highway,Daylight,Truck,60,1,Medium,Distracted Driving,Yes,Medium,Low
2024-02-06,03:28,Kozhikode,11.265057124679815,75.75443136600654,Foggy,City Road,Night,Car,60,3,High,Road Condition,No,High,High
2024-07-16,13:19,Kozhikode,11.221076155958022,75.79968937317466,Foggy,Rural Road,Low Light,Car,80,2,Low,Overspeeding,Yes,Medium,Low
2024-03-15,11:18,Idukki,9.882705441974755,76.96497257895221,Rainy,Highway,Daylight,Bus,80,1,High,Drunk Driving,Yes,Medium,High
2024-05-11,21:43,Idukki,9.836994850677025,77.00186907410169,Clear,City Road,Low Light,Bike,80,4,Medium,Overspeeding,Yes,Medium,Medium
2023-04-05,12:22,Idukki,9.885912368018621,77.01574472983357,Clear,City Road,Low Light,Car,100,3,High,Distracted Driving,No,Medium,Medium
2023-06-27,04:54,Kozhikode,11.26103224278493,75.73730131706012,Rainy,Rural Road,Daylight,Truck,60,1,Low,Drunk Driving,Yes,Medium,Low
2023-03-11,06:12,Idukki,9.876001661843613,76.98364726462876,Clear,Highway,Low Light,Bike,100,1,Medium,Overspeeding,Yes,Low,Low
2023-09-29,21:41,Kottayam,9.549167094814115,76.51852869004735,Clear,City Road,Daylight,Bike,60,2,High,Drunk Driving,No,Low,Low
2023-06-08,00:52,Kozhikode,11.228273287325255,75.81503892741289,Cloudy,Highway,Low Light,Bike,80,4,Medium,Distracted Driving,Yes,Medium,High
2024-01-30,21:11,Palakkad,10.808469609914942,76.69410425569914,Clear,Highway,Low Light,Truck,80,2,Low,Distracted Driving,Yes,High,High
2023-03-31,18:36,Malappuram,11.04097429424225,76.02614280325217,Foggy,Highway,Daylight,Truck,100,3,Medium,Road Condition,Yes,Low,Medium
2024-07-14,19:09,Kottayam,9.555639198525672,76.56497543208212,Foggy,City Road,Daylight,Car,40,4,Low,Drunk Driving,Yes,Medium,Low
2023-02-15,04:15,Kozhikode,11.299756321735716,75.7340448734423,Cloudy,City Road,Daylight,Truck,60,1,Low,Overspeeding,No,High,Low
2024-06-10,03:31,Kozhikode,11.219641405266344,75.76375868830685,Rainy,City Road,Low Light,Bike,50,4,Medium,Road Condition,Yes,Low,High
2024-03-25,10:14,Kollam,8.925530811643142,76.66259294700359,Foggy,Rural Road,Daylight,Car,50,3,Low,Drunk Driving,Yes,Medium,High
2024-01-30,20:13,Alappuzha,9.511607844444532,76.35501354090381,Foggy,Rural Road,Night,Bike,50,1,High,Distracted Driving,Yes,Medium,Medium
2023-10-29,11:33,Alappuzha,9.456848904914,76.29295320957466,Foggy,City Road,Night,Bike,60,3,Low,Overspeeding,No,Low,High
2023-03-16,23:31,Kottayam,9.582640485153911,76.47891483830608,Rainy,Highway,Daylight,Car,100,4,High,Drunk Driving,No,Low,Medium
2024-06-13,08:16,Kozhikode,11.231048440380539,75.74624548384426,Cloudy,Rural Road,Low Light,Bike,100,3,High,Bad Weather,Yes,Medium,High
2024-09-16,15:13,Wayanad,11.653544883454979,76.13933596585628,Foggy,Highway,Night,Car,50,4,High,Distracted Driving,Yes,High,High
2024-03-17,14:50,Alappuzha,9.47772679079196,76.36922576416417,Rainy,Highway,Low Light,Bike,100,2,High,Bad Weather,No,Medium,Low
2023-08-25,18:14,Thiruvananthapuram,8.492136167514326,76.9618195742054,Cloudy,Rural Road,Night,Bike,100,1,Medium,Drunk Driving,Yes,Medium,Low
2024-11-05,15:18,Idukki,9.82771197350872,76.98806436863559,Foggy,City Road,Daylight,Bike,40,2,Low,Bad Weather,No,High,Low
2024-10-24,11:13,Kozhikode,11.263694861211992,75.75011831901978,Rainy,Rural Road,Night,Bus,100,1,Medium,Distracted Driving,No,Low,Medium
2023-09-12,12:05,Kollam,8.882099395271018,76.59872862241485,Cloudy,City Road,Night,Truck,80,3,Medium,Distracted Driving,Yes,High,Medium
2023-04-21,04:12,Idukki,9.86894293762676,76.95893485690479,Cloudy,Rural Road,Daylight,Truck,80,3,Medium,Distracted Driving,Yes,High,Low
2024-11-14,17:22,Malappuram,11.04107606663618,76.06480856339994,Foggy,Rural Road,Low Light,Car,100,4,High,Distracted Driving,Yes,Low,High
2024-05-29,09:16,Malappuram,11.053352582227722,76.06124996712232,Rainy,City Road,Night,Truck,60,2,Low,Overspeeding,Yes,Medium,Medium
2024-01-02,08:41,Ernakulam,9.935311452649199,76.28003555722344,Clear,Highway,Daylight,Car,100,2,Medium,Bad Weather,No,Low,High
2024-04-14,12:43,Thiruvananthapuram,8.516585741341698,76.97529295700409,Cloudy,Highway,Daylight,Bike,40,4,Medium,Road Condition,Yes,Medium,Low
2023-11-07,11:02,Kottayam,9.562872908206355,76.5471084963552,Clear,Rural Road,Daylight,Truck,60,3,Low,Distracted Driving,Yes,High,Medium
2023-08-11,11:02,Kottayam,9.607571443523286,76.54771880157216,Rainy,Highway,Daylight,Car,50,3,High,Distracted Driving,No,Medium,High
2024-06-27,01:26,Kannur,11.847347548495627,75.32578141386468,Foggy,Highway,Low Light,Truck,50,4,High,Bad Weather,No,Medium,Medium
2024-11-12,18:17,Kottayam,9.599021371655061,76.55018242516734,Cloudy,Highway,Low Light,Truck,80,4,Low,Bad Weather,No,High,Low
2023-09-22,21:09,Ernakulam,9.94501301697293,76.29125418784716,Rainy,Highway,Daylight,Car,60,3,Medium,Distracted Driving,Yes,High,High
2023-04-11,01:32,Thrissur,10.49844540556399,76.16853652707007,Foggy,Highway,Night,Truck,80,1,Low,Overspeeding,Yes,Medium,Low
2024-11-20,10:33,Wayanad,11.725649285523604,76.16904414464285,Clear,Rural Road,Night,Car,40,3,High,Distracted Driving,Yes,Medium,High
2023-10-17,09:36,Kannur,11.894831652621463,75.3360292299537,Cloudy,Rural Road,Low Light,Bus,60,4,Low,Bad Weather,Yes,Medium,High
2023-03-04,07:00,Palakkad,10.804252277413257,76.70268495386951,Cloudy,Rural Road,Low Light,Bike,40,1,Low,Drunk Driving,Yes,Medium,Medium
2024-10-12,22:23,Kozhikode,11.283097826220379,75.8299773406418,Foggy,Highway,Low Light,Bike,40,1,Low,Overspeeding,Yes,High,High
2023-04-26,15:10,Malappuram,11.054153829939908,76.11545917815093,Cloudy,City Road,Night,Bike,40,4,High,Drunk Driving,Yes,Low,High
2024-02-09,12:46,Thrissur,10.547246681865277,76.1760258864327,Cloudy,City Road,Daylight,Car,80,1,High,Bad Weather,No,Medium,Low
2024-05-29,09:54,Kasaragod,12.543346461086527,75.0008671408034,Rainy,City Road,Low Light,Bus,60,3,Low,Drunk Driving,Yes,Low,High
2023-03-25,22:47,Kasaragod,12.541609371743474,74.9597964233234,Cloudy,City Road,Night,Truck,80,1,High,Overspeeding,Yes,High,High
2024-09-16,19:15,Wayanad,11.710194385361033,76.09193802353595,Clear,City Road,Low Light,Bike,80,3,Medium,Bad Weather,Yes,High,High
2023-03-27,15:37,Kasaragod,12.487194411742653,74.94801409938809,Clear,Highway,Low Light,Bus,80,1,Medium,Overspeeding,No,Low,Low
2024-11-23,11:38,Ernakulam,9.93385320717965,76.26755420216267,Foggy,City Road,Daylight,Bus,50,4,Low,Road Condition,No,High,Medium
2024-04-15,07:29,Kasaragod,12.54787185530344,74.94866278394133,Foggy,Rural Road,Low Light,Car,60,4,High,Distracted Driving,No,High,Low
2024-05-22,04:53,Kottayam,9.636531188708297,76.51578972654846,Rainy,Rural Road,Daylight,Truck,100,2,High,Road Condition,No,High,High
2023-06-14,13:16,Alappuzha,9.517436183554628,76.29879953631914,Clear,Rural Road,Low Light,Truck,50,1,Medium,Drunk Driving,Yes,Low,Low
2023-05-03,14:46,Kasaragod,12.520904629390245,74.94146162438285,Clear,Highway,Night,Truck,60,3,High,Overspeeding,Yes,High,High
2024-02-14,23:04,Kozhikode,11.248909511915357,75.82007928451704,Rainy,City Road,Daylight,Truck,80,1,High,Distracted Driving,No,Medium,Medium
2023-10-14,08:22,Ernakulam,9.956773137114864,76.26994372574467,Clear,Highway,Daylight,Bus,60,3,Low,Distracted Driving,No,Low,Medium
2023-09-06,11:20,Malappuram,11.015244691330365,76.03326342199539,Clear,Rural Road,Low Light,Bus,50,2,High,Distracted Driving,No,High,Medium
2023-02-04,13:20,Malappuram,11.029080853041796,76.1188390932645,Cloudy,Rural Road,Low Light,Bike,50,2,Low,Distracted Driving,No,Medium,Medium
2024-02-08,22:23,Malappuram,11.082093766700103,76.06864926262189,Clear,Highway,Night,Bike,50,4,High,Distracted Driving,Yes,Medium,Low
2023-08-26,13:14,Thiruvananthapuram,8.546495948269401,76.94973664861867,Cloudy,Highway,Low Light,Truck,80,4,Medium,Overspeeding,Yes,High,High
2023-05-09,08:16,Pathanamthitta,9.264920543573123,76.7757820515331,Rainy,City Road,Daylight,Car,50,1,Low,Bad Weather,Yes,Low,Low
2023-10-27,12:55,Palakkad,10.761515900731842,76.64568928304388,Rainy,Rural Road,Daylight,Truck,40,4,Low,Road Condition,Yes,Medium,Low
2024-02-02,03:54,Kottayam,9.5522471348425,76.53124952130966,Rainy,Highway,Daylight,Car,50,3,Low,Overspeeding,Yes,High,High
2024-05-02,14:01,Kannur,11.870637330870123,75.32045504288718,Cloudy,Highway,Night,Bike,60,2,High,Distracted Driving,Yes,Low,High
2024-06-23,10:33,Ernakulam,10.017911216610655,76.26528248824185,Foggy,Highway,Daylight,Bike,80,4,High,Drunk Driving,Yes,Low,Medium
2024-07-19,21:44,Kasaragod,12.478850440404212,74.95157231460195,Foggy,Rural Road,Daylight,Truck,60,4,High,Drunk Driving,No,Medium,High
2023-04-08,15:01,Kozhikode,11.28870427406783,75.7378162009913,Rainy,Rural Road,Daylight,Truck,100,1,Low,Distracted Driving,No,Medium,Low
2023-11-30,23:09,Pathanamthitta,9.230480502003077,76.78375812158782,Rainy,Rural Road,Low Light,Truck,40,4,High,Distracted Driving,No,High,High
2023-11-25,20:14,Wayanad,11.692430203295974,76.12902904884031,Clear,Highway,Daylight,Truck,40,2,Medium,Bad Weather,No,Low,Low
2024-05-10,00:00,Pathanamthitta,9.233267012309463,76.77589809051463,Foggy,Highway,Night,Bus,40,4,High,Drunk Driving,Yes,Low,Low
2023-09-28,09:21,Alappuzha,9.469111741102424,76.36293563857414,Cloudy,City Road,Low Light,Car,40,4,Low,Drunk Driving,No,Medium,High
2024-03-17,03:21,Kozhikode,11.273739718957925,75.7439390751926,Rainy,Highway,Night,Car,100,2,Medium,Road Condition,Yes,Low,High
2024-08-17,07:01,Malappuram,11.076261882554668,76.06688112701009,Cloudy,Rural Road,Low Light,Bike,40,1,Medium,Drunk Driving,Yes,Low,Medium
2023-03-09,13:43,Alappuzha,9.531880403640649,76.36882944058765,Rainy,City Road,Low Light,Bike,60,3,Medium,Overspeeding,Yes,High,Medium
2023-12-05,22:34,Kollam,8.846541873476792,76.65315543093807,Clear,Highway,Low Light,Bus,100,3,High,Drunk Driving,No,Medium,Low
2023-08-02,11:14,Kannur,11.827978480827817,75.40775230104796,Rainy,City Road,Low Light,Car,50,4,Medium,Road Condition,Yes,High,Medium
2024-09-27,03:50,Kozhikode,11.307664639961194,75.76610868175455,Clear,Rural Road,Low Light,Bus,80,1,Medium,Road Condition,No,High,Medium
2024-08-18,14:36,Kottayam,9.592337348551448,76.56742839828713,Foggy,City Road,Night,Bike,50,1,Low,Distracted Driving,Yes,Medium,High
2024-07-25,01:29,Wayanad,11.70608070271398,76.15813319316192,Foggy,Highway,Low Light,Truck,80,4,Medium,Drunk Driving,Yes,Medium,Low
2024-05-16,07:15,Malappuram,11.100343587713452,76.04126402735511,Clear,Highway,Daylight,Truck,50,1,Low,Bad Weather,Yes,High,Medium
2023-03-11,10:24,Thrissur,10.568517572533938,76.20694731406896,Foggy,Highway,Night,Car,40,2,Low,Road Condition,No,High,Medium
2024-08-04,02:57,Kottayam,9.588911857344034,76.55508679203363,Foggy,Highway,Daylight,Bike,50,3,Medium,Distracted Driving,No,High,High
2023-04-12,13:09,Thrissur,10.550114233950255,76.2520289545097,Clear,Highway,Low Light,Truck,60,4,Low,Bad Weather,No,High,Low
2023-08-16,17:25,Kollam,8.929922157894271,76.62241761471086,Rainy,City Road,Low Light,Car,50,4,Low,Overspeeding,Yes,Medium,Medium
2023-05-29,19:24,Ernakulam,9.988196281797212,76.2538810222038,Foggy,Rural Road,Low Light,Car,80,1,High,Distracted Driving,Yes,Medium,Medium
2024-10-19,14:56,Kozhikode,11.223822048918104,75.75998551554109,Clear,Rural Road,Daylight,Bike,50,2,High,Road Condition,No,High,Low
2024-01-05,10:25,Idukki,9.886162288667151,76.97044635794217,Foggy,Highway,Low Light,Bus,100,2,Medium,Road Condition,No,Low,High
